State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.448839	0.126404	0.112181	0.0996094	0.112239	0.0315929	0.0248959	0.0249088	0.0316092	0.0397048	-8.62469e-05	1.01228
1	0	0.448792	0.126477	0.112219	0.0995307	0.112177	0.0316251	0.0248872	0.0248781	0.0316135	0.0399326	6.11994e-05	1.0122
2	0	0.448756	0.126366	0.112227	0.0996021	0.112151	0.0316024	0.024909	0.0248921	0.0315809	0.0396671	0.000113553	1.01209
3	0	0.448809	0.126421	0.1122	0.0995823	0.112205	0.0316047	0.024895	0.0248961	0.031606	0.0397726	-7.13982e-06	1.01222
4	0	0.448788	0.126491	0.112239	0.0995182	0.112155	0.0316347	0.024889	0.0248702	0.0316108	0.0399716	0.000125861	1.0122
5	0	0.448775	0.12639	0.112219	0.0995916	0.112169	0.0316047	0.0249035	0.0248924	0.0315906	0.0397163	7.44075e-05	1.01214
6	0	0.448825	0.126432	0.112234	0.0995808	0.112178	0.031616	0.0249014	0.024889	0.0316002	0.0397898	8.3518e-05	1.01226
7	0	0.448844	0.126481	0.112264	0.0995511	0.112159	0.031635	0.0248994	0.0248761	0.0316054	0.0399034	0.00015606	1.01231
8	0	0.448802	0.126408	0.112243	0.09959	0.112158	0.0316138	0.0249068	0.0248882	0.0315901	0.0397417	0.000124968	1.0122
9	0	0.448819	0.126419	0.112182	0.0995888	0.112227	0.0315985	0.0248922	0.0249022	0.0316111	0.0397587	-6.64505e-05	1.01224
10	0	0.448804	0.126456	0.112183	0.0995527	0.112218	0.0316091	0.0248843	0.0248921	0.031619	0.0398681	-5.19624e-05	1.01222
11	0	0.448755	0.126387	0.112208	0.0995861	0.11217	0.031602	0.0249008	0.0248923	0.0315912	0.0397204	5.70724e-05	1.01209
12	0	0.448875	0.126416	0.112223	0.0996159	0.112215	0.0316052	0.0249049	0.0249031	0.0316029	0.0397094	1.18821e-05	1.01236
13	0	0.448835	0.12647	0.112257	0.0995553	0.112161	0.0316311	0.0248995	0.0248782	0.0316041	0.0398825	0.000142389	1.01229
14	0	0.448782	0.12641	0.112275	0.0995789	0.112116	0.0316249	0.0249123	0.0248772	0.0315803	0.039764	0.000235259	1.01216
15	0	0.448856	0.12641	0.112205	0.0996118	0.112223	0.0316	0.0249009	0.024905	0.0316052	0.039709	-2.76384e-05	1.01232
16	0	0.448827	0.126447	0.112257	0.09957	0.112156	0.0316259	0.0249036	0.0248813	0.0315976	0.0398273	0.000149225	1.01227
17	0	0.448741	0.126421	0.112195	0.0995526	0.112175	0.0316079	0.0248903	0.024886	0.0316024	0.0398215	2.91929e-05	1.01207
18	0	0.448878	0.126405	0.112184	0.0996256	0.112255	0.0315914	0.0248985	0.0249143	0.0316114	0.0396793	-0.000105522	1.01236
19	0	0.44879	0.126472	0.112235	0.0995343	0.11216	0.0316284	0.0248918	0.0248754	0.0316075	0.0399193	0.000110212	1.01219
20	0	0.448764	0.126431	0.112181	0.0995551	0.112201	0.0316048	0.0248865	0.024891	0.0316105	0.0398303	-3.00986e-05	1.01212
21	0	0.448789	0.12639	0.112141	0.0995982	0.112253	0.0315817	0.0248871	0.024912	0.0316133	0.0397048	-0.000166685	1.01217
22	0	0.448773	0.126459	0.112207	0.0995366	0.11218	0.0316186	0.0248871	0.0248812	0.031611	0.0398991	3.9923e-05	1.01215
23	0	0.448815	0.126431	0.11223	0.0995774	0.112178	0.0316151	0.0249001	0.0248886	0.0316004	0.0397936	7.73518e-05	1.01223
24	0	0.448888	0.126421	0.112221	0.0996176	0.112223	0.0316051	0.0249043	0.0249045	0.0316055	0.0397133	-1.90792e-06	1.01239
25	0	0.44882	0.126513	0.112231	0.0995155	0.112179	0.0316354	0.0248846	0.0248732	0.0316209	0.0400047	7.59983e-05	1.01227
26	0	0.448795	0.126393	0.112212	0.099599	0.112185	0.031602	0.0249028	0.0248967	0.0315943	0.0397067	4.03967e-05	1.01218
27	0	0.448848	0.126431	0.11218	0.0995921	0.112244	0.0315988	0.024891	0.0249051	0.0316167	0.039769	-9.46552e-05	1.01231
28	0	0.44878	0.126493	0.112213	0.099513	0.112177	0.0316283	0.0248822	0.0248743	0.0316182	0.0399832	5.29914e-05	1.01218
29	0	0.448826	0.126401	0.112241	0.0996061	0.112172	0.0316099	0.0249091	0.0248939	0.0315906	0.0397059	0.000101636	1.01225
