State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.469087	0.132068	0.118057	0.103769	0.116819	0.0292779	0.0292285	0.022731	0.0368507	0.0401436	0.000153508	1.05789
1	0	0.469005	0.132032	0.117998	0.103811	0.116764	0.0292636	0.0292274	0.0227378	0.0368235	0.0400347	0.000154302	1.05766
2	0	0.468983	0.131991	0.117981	0.103843	0.116747	0.0292453	0.0292388	0.0227383	0.0368138	0.0399307	0.000157334	1.05758
3	0	0.468972	0.132008	0.117976	0.103832	0.116742	0.0292538	0.0292309	0.0227398	0.0368122	0.0399704	0.000158094	1.05757
4	0	0.468972	0.131983	0.117974	0.10385	0.116739	0.0292419	0.0292402	0.0227387	0.0368103	0.0399094	0.000158855	1.05755
5	0	0.468968	0.132006	0.117975	0.103834	0.11674	0.0292531	0.0292313	0.02274	0.0368111	0.0399644	0.000159326	1.05756
6	0	0.468971	0.131982	0.117975	0.103851	0.116739	0.029242	0.0292404	0.022739	0.0368097	0.0399069	0.000160279	1.05755
7	0	0.468968	0.132005	0.117976	0.103834	0.11674	0.0292534	0.0292315	0.0227402	0.0368108	0.0399636	0.000160751	1.05756
8	0	0.468969	0.131982	0.117976	0.103851	0.116739	0.0292423	0.0292407	0.022739	0.0368098	0.039907	0.000161876	1.05755
9	0	0.468966	0.132004	0.117977	0.103833	0.116739	0.0292536	0.0292318	0.02274	0.0368107	0.0399638	0.000163295	1.05756
10	0	0.468968	0.131981	0.117977	0.10385	0.116739	0.0292426	0.0292411	0.022739	0.0368095	0.039906	0.000164244	1.05755
11	0	0.468964	0.132003	0.117979	0.103833	0.116739	0.0292541	0.0292322	0.0227401	0.0368105	0.0399629	0.000165852	1.05756
12	0	0.468966	0.13198	0.117979	0.103849	0.116739	0.029243	0.0292414	0.022739	0.0368097	0.0399067	0.000165855	1.05755
13	0	0.468963	0.132003	0.11798	0.103832	0.11674	0.0292542	0.0292323	0.0227401	0.0368108	0.0399636	0.000165946	1.05756
14	0	0.468966	0.131981	0.11798	0.103849	0.116739	0.0292433	0.0292417	0.0227389	0.0368096	0.0399068	0.000168124	1.05755
15	0	0.468963	0.132003	0.117981	0.103832	0.116739	0.0292546	0.0292327	0.02274	0.0368106	0.0399633	0.000168309	1.05756
16	0	0.468965	0.13198	0.11798	0.10385	0.116739	0.0292434	0.0292417	0.022739	0.0368096	0.0399065	0.000168124	1.05755
17	0	0.468962	0.132003	0.117981	0.103832	0.11674	0.0292548	0.0292327	0.0227401	0.0368107	0.0399636	0.000168684	1.05756
18	0	0.468965	0.131981	0.11798	0.10385	0.116739	0.0292435	0.0292418	0.022739	0.0368097	0.0399069	0.000168407	1.05755
19	0	0.468962	0.132003	0.117981	0.103832	0.116739	0.0292548	0.0292326	0.0227401	0.0368106	0.0399636	0.000168688	1.05756
20	0	0.468964	0.131981	0.11798	0.10385	0.116739	0.0292436	0.0292418	0.0227391	0.0368097	0.0399067	0.000168687	1.05755
21	0	0.46896	0.132003	0.117982	0.103832	0.11674	0.029255	0.0292327	0.0227402	0.0368107	0.0399639	0.000169252	1.05755
22	0	0.472537	0.131801	0.116818	0.102895	0.116482	0.0299011	0.0285266	0.0233314	0.0352541	0.039907	0.000168953	1.05755
23	0	0.46896	0.132003	0.117982	0.103832	0.116739	0.0292552	0.0292329	0.0227403	0.0368106	0.0399636	0.000169917	1.05756
24	0	0.468964	0.13198	0.117981	0.10385	0.116739	0.0292437	0.0292422	0.0227392	0.0368096	0.0399054	0.00016973	1.05755
25	0	0.46896	0.132003	0.117982	0.103832	0.116739	0.0292552	0.0292329	0.0227402	0.0368107	0.0399638	0.000170107	1.05756
26	0	0.468962	0.13198	0.117981	0.103849	0.116739	0.0292439	0.0292421	0.0227393	0.0368099	0.0399065	0.000169258	1.05755
27	0	0.468961	0.132003	0.117982	0.103832	0.116739	0.0292551	0.0292329	0.0227403	0.0368106	0.0399634	0.000170012	1.05756
28	0	0.468964	0.131981	0.117981	0.10385	0.116739	0.0292437	0.029242	0.0227391	0.0368098	0.0399068	0.000169068	1.05755
29	0	0.468961	0.132004	0.117982	0.103832	0.116739	0.029255	0.0292328	0.0227402	0.0368107	0.0399636	0.000169251	1.05756
30	0	0.468964	0.131981	0.117981	0.10385	0.116739	0.0292437	0.0292419	0.0227392	0.0368097	0.0399069	0.000169157	1.05755
31	0	0.468962	0.132004	0.117982	0.103832	0.11674	0.0292549	0.0292328	0.0227402	0.0368108	0.0399635	0.000168967	1.05756
32	0	0.468964	0.131981	0.117981	0.10385	0.116739	0.0292436	0.029242	0.0227391	0.0368098	0.0399068	0.000169068	1.05755
33	0	0.468962	0.132003	0.117982	0.103833	0.11674	0.0292548	0.0292329	0.0227402	0.0368108	0.0399633	0.000168967	1.05756
34	0	0.468964	0.131981	0.117981	0.10385	0.116739	0.0292436	0.0292419	0.0227391	0.0368098	0.0399065	0.000168782	1.05755
35	0	0.468961	0.132003	0.117982	0.103832	0.116739	0.0292549	0.0292329	0.0227402	0.0368108	0.0399634	0.000169253	1.05756
36	0	0.468964	0.131981	0.117981	0.10385	0.116739	0.0292437	0.029242	0.0227392	0.0368099	0.0399067	0.000168779	1.05755
37	0	0.468962	0.132004	0.117981	0.103833	0.116739	0.0292547	0.0292328	0.0227401	0.0368111	0.0399643	0.000167839	1.05756
38	0	0.468966	0.131981	0.11798	0.10385	0.116739	0.0292434	0.0292418	0.0227391	0.0368099	0.0399067	0.000167651	1.05755
39	0	0.468963	0.132004	0.11798	0.103833	0.116739	0.0292544	0.0292327	0.0227401	0.0368111	0.0399639	0.000166702	1.05756
40	0	0.468967	0.131981	0.117979	0.103851	0.116739	0.029243	0.0292417	0.0227392	0.0368101	0.0399062	0.000165184	1.05755
41	0	0.468964	0.132005	0.117979	0.103833	0.11674	0.0292541	0.0292325	0.0227401	0.0368112	0.0399639	0.000165281	1.05756
42	0	0.468968	0.131982	0.117977	0.103851	0.116739	0.0292427	0.0292414	0.022739	0.0368101	0.0399072	0.000164146	1.05755
43	0	0.468966	0.132005	0.117978	0.103833	0.11674	0.0292536	0.0292322	0.0227399	0.0368112	0.0399639	0.000163486	1.05756
44	0	0.472543	0.131803	0.116813	0.102896	0.116483	0.0298997	0.0285261	0.0233314	0.0352542	0.0399072	0.000161217	1.05755
45	0	0.468967	0.132005	0.117977	0.103834	0.11674	0.0292533	0.029232	0.0227401	0.0368112	0.039963	0.000161219	1.05756
46	0	0.46897	0.131982	0.117976	0.103851	0.116739	0.0292422	0.029241	0.0227391	0.0368101	0.0399066	0.000161311	1.05755
47	0	0.468967	0.132006	0.117975	0.103835	0.11674	0.029253	0.0292319	0.0227402	0.0368114	0.0399627	0.000159893	1.05756
48	0	0.46897	0.131983	0.117974	0.103852	0.116739	0.029242	0.0292407	0.0227391	0.0368102	0.0399071	0.000159618	1.05755
49	0	0.468968	0.132006	0.117974	0.103835	0.116739	0.0292526	0.0292317	0.0227399	0.0368115	0.0399633	0.000158185	1.05756
50	0	0.468974	0.131984	0.117971	0.103853	0.116739	0.0292405	0.0292404	0.0227388	0.0368107	0.0399061	0.000154408	1.05755
51	0	0.468973	0.132007	0.11797	0.103836	0.11674	0.0292514	0.0292307	0.02274	0.0368117	0.0399632	0.000151759	1.05756
52	0	0.468977	0.131984	0.117969	0.103853	0.116739	0.0292404	0.0292395	0.022739	0.0368105	0.0399071	0.000151292	1.05755
53	0	0.468973	0.132007	0.11797	0.103836	0.11674	0.0292516	0.0292307	0.0227401	0.0368113	0.0399629	0.000152522	1.05756
54	0	0.468976	0.131984	0.11797	0.103853	0.116739	0.0292404	0.0292397	0.0227388	0.0368105	0.039907	0.00015252	1.05755
55	0	0.468973	0.132008	0.117969	0.103836	0.116739	0.0292513	0.0292306	0.0227399	0.0368117	0.0399637	0.000151473	1.05756
56	0	0.468977	0.131985	0.117967	0.103853	0.116739	0.0292398	0.0292394	0.0227388	0.0368106	0.0399069	0.000149869	1.05755
57	0	0.468975	0.132008	0.117968	0.103837	0.11674	0.0292507	0.0292303	0.0227399	0.0368118	0.039963	0.000148547	1.05756
58	0	0.468979	0.131985	0.117966	0.103854	0.116739	0.0292394	0.0292391	0.0227388	0.0368107	0.0399067	0.000147322	1.05755
