State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.464857	0.130873	0.116653	0.102812	0.11565	0.0289353	0.028873	0.0224872	0.036497	0.0402177	-0.000164396	1.04764
1	0	0.464769	0.130803	0.116593	0.102886	0.115593	0.0288944	0.0288943	0.0224961	0.0364632	0.0399881	-0.000162692	1.04739
2	0	0.464737	0.130811	0.116573	0.10289	0.115574	0.0288954	0.0288895	0.0225018	0.0364546	0.0399868	-0.000164592	1.04733
3	0	0.46473	0.130782	0.116569	0.102912	0.115569	0.0288823	0.0289004	0.0225019	0.0364494	0.0399116	-0.000160736	1.0473
4	0	0.464723	0.130803	0.11657	0.102896	0.115568	0.0288931	0.0288919	0.0225038	0.0364498	0.0399641	-0.000158943	1.0473
5	0	0.464721	0.130779	0.116573	0.102912	0.115567	0.0288835	0.028902	0.022503	0.0364479	0.0399062	-0.000152213	1.04729
6	0	0.464713	0.130801	0.116578	0.102895	0.115568	0.0288955	0.0288941	0.022504	0.0364491	0.0399628	-0.000146552	1.0473
7	0	0.464717	0.130778	0.116577	0.102912	0.115567	0.0288842	0.0289033	0.0225027	0.0364488	0.0399056	-0.000147275	1.04729
8	0	0.464715	0.130801	0.116577	0.102895	0.115568	0.0288949	0.0288942	0.0225037	0.0364499	0.0399624	-0.000148256	1.0473
9	0	0.464718	0.130779	0.116576	0.102913	0.115568	0.028884	0.0289029	0.0225029	0.0364488	0.0399061	-0.0001496	1.04729
10	0	0.464715	0.130801	0.116577	0.102896	0.115568	0.0288948	0.0288941	0.0225038	0.0364498	0.039962	-0.000148974	1.0473
11	0	0.464719	0.130779	0.116576	0.102912	0.115568	0.028884	0.0289028	0.0225029	0.0364487	0.0399062	-0.000149105	1.04729
12	0	0.464715	0.130801	0.116578	0.102895	0.115569	0.0288954	0.0288941	0.022504	0.0364496	0.0399626	-0.00014759	1.0473
13	0	0.464718	0.130778	0.116578	0.102912	0.115568	0.0288846	0.0289033	0.022503	0.0364486	0.0399061	-0.00014683	1.04729
14	0	0.464714	0.130801	0.11658	0.102894	0.115569	0.0288962	0.0288944	0.022504	0.0364494	0.0399639	-0.000144558	1.0473
15	0	0.464715	0.130778	0.116581	0.102911	0.115568	0.0288854	0.0289036	0.0225031	0.0364483	0.0399064	-0.000143042	1.04729
16	0	0.464713	0.1308	0.116583	0.102893	0.115569	0.0288967	0.0288948	0.0225041	0.0364494	0.0399636	-0.000141942	1.0473
17	0	0.464714	0.130777	0.116583	0.10291	0.115569	0.0288861	0.028904	0.0225031	0.0364482	0.0399069	-0.000139935	1.04729
18	0	0.46471	0.1308	0.116585	0.102893	0.115569	0.0288975	0.0288954	0.0225042	0.0364492	0.0399636	-0.000137942	1.0473
19	0	0.464712	0.130777	0.116586	0.102909	0.115569	0.028887	0.0289045	0.0225033	0.0364481	0.0399073	-0.000136139	1.0473
20	0	0.464708	0.130799	0.116588	0.102892	0.11557	0.0288985	0.0288959	0.0225044	0.0364491	0.0399639	-0.00013423	1.0473
21	0	0.464708	0.130776	0.116589	0.102908	0.115569	0.0288882	0.028905	0.0225035	0.0364478	0.0399078	-0.000131737	1.0473
22	0	0.464704	0.130798	0.116592	0.102891	0.11557	0.0288995	0.0288965	0.0225045	0.0364488	0.039964	-0.000129383	1.0473
23	0	0.464706	0.130775	0.116592	0.102907	0.115569	0.0288891	0.0289056	0.0225034	0.0364476	0.0399084	-0.000127138	1.04729
24	0	0.464702	0.130798	0.116594	0.10289	0.11557	0.0289004	0.028897	0.0225045	0.0364487	0.0399651	-0.000125359	1.0473
25	0	0.464703	0.130775	0.116595	0.102907	0.115569	0.0288898	0.0289062	0.0225036	0.0364477	0.0399085	-0.000123773	1.0473
26	0	0.464699	0.130797	0.116597	0.102889	0.11557	0.028901	0.0288975	0.0225045	0.0364488	0.0399652	-0.000122036	1.0473
27	0	0.464701	0.130774	0.116597	0.102906	0.115569	0.0288904	0.0289065	0.0225036	0.0364476	0.0399088	-0.00012041	1.04729
28	0	0.464697	0.130797	0.116599	0.102889	0.11557	0.0289017	0.028898	0.0225047	0.0364487	0.0399651	-0.000119132	1.0473
29	0	0.464699	0.130774	0.116598	0.102906	0.115569	0.0288908	0.0289071	0.0225034	0.0364477	0.0399084	-0.000118125	1.04729
30	0	0.464696	0.130796	0.116599	0.102889	0.115569	0.0289017	0.0288981	0.0225044	0.0364488	0.0399651	-0.000118522	1.0473
31	0	0.4647	0.130774	0.116597	0.102906	0.115569	0.0288903	0.0289068	0.0225033	0.0364481	0.0399087	-0.000120565	1.04729
32	0	0.464698	0.130797	0.116596	0.10289	0.115569	0.0289009	0.0288977	0.0225043	0.0364491	0.0399649	-0.000121956	1.0473
33	0	0.464702	0.130775	0.116594	0.102907	0.115568	0.0288896	0.0289063	0.0225032	0.0364481	0.0399088	-0.000123667	1.04729
34	0	0.464701	0.130798	0.116593	0.102891	0.115569	0.0289	0.0288972	0.0225041	0.0364494	0.0399649	-0.000126083	1.0473
35	0	0.464705	0.130776	0.116591	0.102908	0.115568	0.0288887	0.0289057	0.0225031	0.0364485	0.0399088	-0.000128319	1.04729
36	0	0.464703	0.130798	0.11659	0.102891	0.115569	0.0288991	0.0288966	0.0225041	0.0364495	0.0399647	-0.000130481	1.0473
37	0	0.464707	0.130777	0.116588	0.102909	0.115568	0.0288879	0.0289052	0.022503	0.0364486	0.0399088	-0.00013215	1.04729
38	0	0.464705	0.130799	0.116587	0.102892	0.115569	0.0288982	0.0288961	0.022504	0.0364497	0.0399643	-0.000134173	1.0473
39	0	0.464709	0.130777	0.116585	0.102909	0.115568	0.028887	0.0289045	0.022503	0.0364488	0.039909	-0.00013641	1.04729
40	0	0.464707	0.1308	0.116585	0.102893	0.115568	0.0288974	0.0288956	0.0225039	0.0364498	0.0399641	-0.000137947	1.0473
