State of simulation to be used as initial state: 
V_max = 0.08
nu = 1e-05
system size = [ 100 , 200 ]
################################################################
i	j	f0	f1	f2	f3	f4	f5	f6	f7	f8	u	v	rho
0	0	0.470715	0.132523	0.118142	0.104107	0.117112	0.0293054	0.0292412	0.0227724	0.0369567	0.0402164	-0.000143844	1.06088
1	0	0.470628	0.132453	0.11808	0.104183	0.117054	0.0292638	0.029262	0.0227816	0.0369235	0.0399884	-0.000144556	1.06063
2	0	0.470596	0.13246	0.11806	0.104186	0.117036	0.029265	0.0292575	0.0227866	0.0369142	0.0399868	-0.000144849	1.06056
3	0	0.47059	0.132432	0.118053	0.10421	0.117029	0.0292509	0.0292678	0.0227866	0.03691	0.0399131	-0.000144757	1.06053
4	0	0.470585	0.132453	0.118052	0.104194	0.117028	0.029261	0.0292591	0.022788	0.0369101	0.0399639	-0.000145298	1.06053
5	0	0.470587	0.13243	0.11805	0.104212	0.117026	0.0292495	0.0292682	0.0227871	0.0369086	0.0399057	-0.000145391	1.06052
6	0	0.470584	0.132453	0.11805	0.104195	0.117027	0.0292605	0.0292591	0.0227882	0.0369096	0.0399615	-0.000146082	1.06053
7	0	0.470587	0.13243	0.11805	0.104213	0.117026	0.0292493	0.0292681	0.0227872	0.0369085	0.0399049	-0.000146218	1.06052
8	0	0.470584	0.132453	0.11805	0.104195	0.117027	0.0292603	0.029259	0.0227882	0.0369096	0.0399613	-0.000146723	1.06053
9	0	0.470587	0.13243	0.118049	0.104213	0.117026	0.0292491	0.029268	0.0227872	0.0369087	0.0399051	-0.000147286	1.06052
10	0	0.470584	0.132453	0.118049	0.104195	0.117027	0.0292603	0.0292589	0.0227882	0.0369096	0.0399617	-0.000147382	1.06053
11	0	0.470587	0.132431	0.118049	0.104213	0.117026	0.0292492	0.029268	0.0227872	0.0369087	0.0399054	-0.000147365	1.06052
12	0	0.470584	0.132453	0.118048	0.104196	0.117027	0.0292598	0.029259	0.0227879	0.03691	0.0399613	-0.000148446	1.06053
13	0	0.470591	0.132431	0.118045	0.104214	0.117026	0.0292477	0.0292674	0.0227868	0.0369092	0.0399043	-0.000152998	1.06052
14	0	0.470589	0.132454	0.118044	0.104197	0.117027	0.0292587	0.0292578	0.0227881	0.0369099	0.0399614	-0.000154546	1.06053
15	0	0.470592	0.132431	0.118044	0.104214	0.117026	0.0292477	0.0292671	0.022787	0.0369087	0.0399044	-0.000153878	1.06052
16	0	0.470588	0.132454	0.118045	0.104197	0.117027	0.0292588	0.029258	0.0227881	0.0369098	0.0399609	-0.000153912	1.06053
17	0	0.470591	0.132431	0.118044	0.104214	0.117026	0.0292476	0.0292671	0.022787	0.0369088	0.0399044	-0.000154066	1.06052
18	0	0.470589	0.132454	0.118044	0.104197	0.117027	0.0292587	0.0292579	0.022788	0.0369099	0.0399612	-0.000154613	1.06053
19	0	0.470592	0.132432	0.118043	0.104215	0.117026	0.0292473	0.0292669	0.0227869	0.0369089	0.0399044	-0.000155387	1.06052
20	0	0.470589	0.132455	0.118043	0.104197	0.117027	0.0292584	0.0292576	0.022788	0.0369099	0.0399613	-0.000156109	1.06052
21	0	0.470593	0.132432	0.118042	0.104215	0.117026	0.0292471	0.0292667	0.0227869	0.0369089	0.0399044	-0.000156363	1.06052
22	0	0.47059	0.132455	0.118042	0.104197	0.117026	0.0292582	0.0292575	0.022788	0.0369099	0.0399612	-0.000156648	1.06052
23	0	0.470593	0.132432	0.118042	0.104215	0.117026	0.0292469	0.0292666	0.0227869	0.0369088	0.0399041	-0.000156885	1.06052
24	0	0.470591	0.132455	0.118042	0.104198	0.117026	0.0292581	0.0292574	0.022788	0.0369098	0.039961	-0.000157107	1.06053
25	0	0.470594	0.132432	0.118041	0.104215	0.117026	0.029247	0.0292665	0.0227869	0.0369087	0.0399045	-0.000157104	1.06052
26	0	0.470591	0.132455	0.118042	0.104198	0.117026	0.0292581	0.0292575	0.022788	0.0369097	0.0399609	-0.000156998	1.06053
27	0	0.470594	0.132432	0.118041	0.104215	0.117026	0.0292469	0.0292665	0.022787	0.0369087	0.0399043	-0.000157299	1.06052
28	0	0.470591	0.132455	0.118042	0.104198	0.117026	0.0292581	0.0292573	0.022788	0.0369098	0.0399615	-0.000157454	1.06052
